Task ID,Area,Task,Requirements,Difficulty,Points,Combat Mastery
101,General,Chop a tree with a Rune axe,41 Woodcutting,Medium,30,
102,General,Chop a tree with a Dragon axe,61 Woodcutting,Hard,80,
103,General,Wear a piece of Lumberjack,44 Woodcutting,Medium,30,
104,General,Chop 25 Trees,,Easy,10,
105,General,Chop 100 Trees,,Medium,30,
106,General,Chop 500 Trees,,Hard,80,
107,General,Fletch Arrow Shafts.,,Easy,10,
108,General,Fletch Headless Arrows.,,Easy,10,
109,General,Fletch Bronze Arrows.,,Easy,10,
110,General,Fletch Iron Arrows.,15 Fletching,Easy,10,
111,General,Fletch Steel Arrows.,30 Fletching,Medium,30,
112,General,Fletch Mithril Arrows.,45 Fletching,Medium,30,
113,General,Fletch Adamant Arrows.,60 Fletching,Hard,80,
114,General,Fletch Rune Arrows.,75 Fletching,Hard,80,
115,General,Fletch Bronze Bolts.,9 Fletching,Easy,10,
116,General,Fletch Steel Bolts.,35 Fletching,Medium,30,
117,General,Fletch Mithril Bolts.,45 Fletching,Medium,30,
118,General,Fletch Adamant Bolts.,61 Fletching,Hard,80,
119,General,Fletch Rune Bolts.,69 Fletching,Hard,80,
120,General,Fletch Shortbows.,5 Fletching,Easy,10,
121,General,Fletch Longbows.,10 Fletching,Easy,10,
122,General,Fletch Oak Shortbows.,20 Fletching,Easy,10,
123,General,Fletch Oak Longbows.,25 Fletching,Easy,10,
124,General,Fletch Willow Shortbows.,35 Fletching,Medium,30,
125,General,Fletch Willow Longbows.,40 Fletching,Medium,30,
126,General,Fletch Maple Shortbows.,50 Fletching,Medium,30,
127,General,Fletch Maple Longbows.,55 Fletching,Medium,30,
128,General,Fletch Yew Shortbows.,65 Fletching,Hard,80,
129,General,Fletch Yew Longbows.,70 Fletching,Hard,80,
130,General,Fletch Magic Shortbows.,80 Fletching,Hard,80,
131,General,Fletch Magic Longbows.,85 Fletching,Elite,200,
132,General,String a Shortbow.,5 Fletching,Easy,10,
133,General,String a Longbow.,10 Fletching,Easy,10,
134,General,String 100 Bows.,,Easy,10,
135,General,String 500 Bows.,,Medium,30,
136,General,"String 1,000 Bows.",,Hard,80,
137,General,Fletch 100 Arrow Shafts.,,Easy,10,
138,General,"Fletch 1,000 Arrow Shafts.",,Easy,10,
139,General,"Fletch 10,000 Arrow Shafts.",,Hard,80,
140,General,Fletch 100 Arrows.,,Easy,10,
141,General,"Fletch 1,000 Arrows.",,Medium,30,
142,General,"Fletch 10,000 Arrows.",,Hard,80,
143,General,Fletch 100 Bolts.,,Easy,10,
144,General,"Fletch 1,000 Bolts.",,Medium,30,
145,General,"Fletch 10,000 Bolts.",,Hard,80,
146,General,Light a Fire.,,Easy,10,
147,General,Burn Oak Logs.,15 Firemaking,Easy,10,
148,General,Burn Willow Logs.,30 Firemaking,Medium,30,
149,General,Burn Maple Logs.,45 Firemaking,Medium,30,
150,General,Burn Yew Logs.,60 Firemaking,Hard,80,
151,General,Burn Magic Logs.,75 Firemaking,Hard,80,
152,General,Burn 25 Logs.,,Easy,10,
153,General,Burn 100 Logs.,,Easy,10,
154,General,Burn 500 Logs.,,Medium,30,
155,General,"Burn 1,000 Logs.",,Hard,80,
156,General,"Burn 5,000 Logs.",,Elite,200,
157,General,Burn Regular Logs Without Failing.,,Easy,10,
158,General,Burn Oak Logs Without Failing.,20 Firemaking,Easy,10,
159,General,Burn Willow Logs Without Failing.,35 Firemaking,Medium,30,
160,General,Burn Maple Logs Without Failing.,50 Firemaking,Medium,30,
161,General,Burn Yew Logs Without Failing.,65 Firemaking,Hard,80,
162,General,Burn Magic Logs Without Failing.,85 Firemaking,Hard,80,
163,General,Catch a Shrimp.,,Easy,10,
164,General,Catch Anchovies.,15 Fishing,Easy,10,
165,General,Catch Sardines.,5 Fishing,Easy,10,
166,General,Catch Herring.,10 Fishing,Easy,10,
167,General,Catch Trout.,20 Fishing,Easy,10,
168,General,Catch Pike.,25 Fishing,Easy,10,
169,General,Catch Salmon.,30 Fishing,Medium,30,
170,General,Catch Tuna.,35 Fishing,Medium,30,
171,General,Catch Lobsters.,40 Fishing,Medium,30,
172,General,Catch Bass.,46 Fishing,Medium,30,
173,General,Catch Swordfish.,50 Fishing,Medium,30,
174,General,Catch Monkfish.,62 Fishing,Hard,80,
175,General,Catch Sharks.,76 Fishing,Hard,80,
176,General,Catch Anglerfish.,82 Fishing,Hard,80,
177,General,Catch Manta Rays.,81 Fishing,Hard,80,
178,General,Catch Dark Crabs.,85 Fishing,Hard,80,
179,General,Catch 25 Fish.,,Easy,10,
180,General,Catch 100 Fish.,,Easy,10,
181,General,Catch 500 Fish.,,Medium,30,
182,General,"Catch 1,000 Fish.",,Hard,80,
183,General,"Catch 5,000 Fish.",,Elite,200,
184,General,Catch Fish with a Small Net.,,Easy,10,
185,General,Catch Fish with Fly Fishing.,20 Fishing,Easy,10,
186,General,Catch Fish with a Harpoon.,35 Fishing,Medium,30,
187,General,Catch Fish with a Lobster Pot.,40 Fishing,Medium,30,
188,General,Catch Fish Barehanded.,55 Fishing,Medium,30,
189,General,Catch 100 Shrimp.,,Easy,10,
190,General,Catch 100 Trout.,20 Fishing,Easy,10,
191,General,Catch 250 Lobsters.,40 Fishing,Medium,30,
192,General,Catch 500 Swordfish.,55 Fishing,Medium,30,
193,General,Catch 250 Sharks.,76 Fishing,Hard,80,
194,General,Cook Shrimp.,,Easy,10,
195,General,Cook Anchovies.,,Easy,10,
196,General,Cook Sardines.,,Easy,10,
197,General,Cook Herring.,5 Cooking,Easy,10,
198,General,Cook Trout.,15 Cooking,Easy,10,
199,General,Cook Pike.,20 Cooking,Easy,10,
200,General,Cook Salmon.,25 Cooking,Easy,10,
201,General,Cook Tuna.,30 Cooking,Medium,30,
202,General,Cook Lobster.,40 Cooking,Medium,30,
203,General,Cook Bass.,43 Cooking,Medium,30,
204,General,Cook Swordfish.,45 Cooking,Medium,30,
205,General,Cook Monkfish.,62 Cooking,Hard,80,
206,General,Cook Shark.,80 Cooking,Hard,80,
207,General,Cook Anglerfish.,84 Cooking,Hard,80,
208,General,Cook Manta Rays.,91 Cooking,Elite,200,
209,General,Cook 25 Fish.,,Easy,10,
210,General,Cook 100 Fish.,15 Cooking,Easy,10,
211,General,Cook 500 Fish.,40 Cooking,Medium,30,
212,General,"Cook 1,000 Fish.",60 Cooking,Hard,80,
213,General,"Cook 5,000 Fish.",80 Cooking,Hard,80,
214,General,Cook Food on a Fire.,,Easy,10,
215,General,Cook Food on a Range.,,Easy,10,
216,General,Burn a Piece of Food.,,Easy,10,
217,General,Cook an Entire Inventory of Fish.,20 Cooking,Easy,10,
218,General,Make Bread.,,Easy,10,
219,General,Bake a Cake.,40 Cooking,Medium,30,
220,General,Bake a Pie.,30 Cooking,Medium,30,
221,General,Make Pizza.,35 Cooking,Medium,30,
222,General,Add Toppings to a Pizza.,45 Cooking,Medium,30,
223,General,Cook Meat.,,Easy,10,
224,General,Cook Chicken.,,Easy,10,
225,General,Plant a Seed.,,Easy,10,
226,General,Harvest a Crop.,,Easy,10,
227,General,Rake a Farming Patch.,,Easy,10,
228,General,Water a Farming Patch.,,Easy,10,
229,General,Compost a Farming Patch.,,Easy,10,
230,General,Plant Potatoes.,,Easy,10,
231,General,Plant Onions.,5 Farming,Easy,10,
232,General,Plant Cabbages.,7 Farming,Easy,10,
233,General,Plant Tomatoes.,12 Farming,Easy,10,
234,General,Plant Sweetcorn.,20 Farming,Easy,10,
235,General,Plant Strawberries.,31 Farming,Medium,30,
236,General,Plant Watermelons.,47 Farming,Medium,30,
237,General,Plant Snape Grass.,61 Farming,Hard,80,
238,General,Plant Ranarr Weed.,32 Farming,Medium,30,
239,General,Plant Snapdragon.,62 Farming,Hard,80,
240,General,Plant Torstol.,85 Farming,Elite,200,
241,General,Plant Marigolds.,2 Farming,Easy,10,
242,General,Plant Rosemary.,11 Farming,Easy,10,
243,General,Plant Limpwurt.,26 Farming,Easy,10,
244,General,Plant White Lilies.,58 Farming,Medium,30,
245,General,Plant an Oak Tree.,15 Farming,Easy,10,
246,General,Plant a Willow Tree.,30 Farming,Medium,30,
247,General,Plant a Maple Tree.,45 Farming,Medium,30,
248,General,Plant a Yew Tree.,60 Farming,Hard,80,
249,General,Plant a Magic Tree.,75 Farming,Hard,80,
250,General,Plant an Apple Tree.,27 Farming,Easy,10,
251,General,Plant a Banana Tree.,33 Farming,Medium,30,
252,General,Plant a Palm Tree.,68 Farming,Hard,80,
253,General,Plant a Dragonfruit Tree.,81 Farming,Hard,80,
254,General,Check the Health of a Tree.,15 Farming,Easy,10,
255,General,Harvest an Herb Patch.,,Easy,10,
256,General,Harvest an Allotment Patch.,,Easy,10,
257,General,Harvest a Fruit Tree.,27 Farming,Easy,10,
258,General,Harvest a Tree Patch.,15 Farming,Easy,10,
259,General,Cure a Diseased Plant.,,Easy,10,
260,General,Protect a Farming Patch.,,Easy,10,
261,General,Use Super Compost.,,Easy,10,
262,General,Use Ultra Compost.,22 Farming,Easy,10,
263,General,Set a Box Trap.,,Easy,10,
264,General,Set a Net Trap.,,Easy,10,
265,General,Catch a Crimson Bird.,,Easy,10,
266,General,Catch a Rabbit with a Box Trap.,5 Hunter,Easy,10,
267,General,Catch a Desert Lizard.,15 Hunter,Easy,10,
268,General,Catch a Spotted Bird.,20 Hunter,Easy,10,
269,General,Catch a Swamp Lizard.,29 Hunter,Easy,10,
270,General,Catch a Chinchompa.,53 Hunter,Medium,30,
271,General,Catch a Red Chinchompa.,63 Hunter,Hard,80,
272,General,Catch a Black Chinchompa.,73 Hunter,Hard,80,
273,General,Catch a Rare Hunter Creature.,85 Hunter,Elite,200,
274,General,Successfully Catch a Creature with a Box Trap.,,Easy,10,
275,General,Successfully Catch a Creature with a Net Trap.,,Easy,10,
276,General,Catch 10 Hunter Creatures.,,Easy,10,
277,General,Catch 50 Hunter Creatures.,20 Hunter,Easy,10,
278,General,Catch 100 Hunter Creatures.,35 Hunter,Medium,30,
279,General,Catch 500 Hunter Creatures.,60 Hunter,Hard,80,
280,General,"Catch 1,000 Hunter Creatures.",80 Hunter,Hard,80,
281,General,"Catch 5,000 Hunter Creatures.",95 Hunter,Elite,200,
282,General,Catch 25 Creatures with Box Traps.,,Easy,10,
283,General,Catch 100 Creatures with Box Traps.,35 Hunter,Medium,30,
284,General,Catch 500 Creatures with Box Traps.,70 Hunter,Hard,80,
285,General,Catch 25 Creatures with Net Traps.,,Easy,10,
286,General,Catch 100 Creatures with Net Traps.,35 Hunter,Medium,30,
287,General,Catch 500 Creatures with Net Traps.,70 Hunter,Hard,80,
288,General,Successfully Reset a Failed Trap.,,Easy,10,
289,General,Have 2 Active Hunter Traps at Once.,20 Hunter,Easy,10,
290,General,Have 3 Active Hunter Traps at Once.,40 Hunter,Medium,30,
291,General,Have 4 Active Hunter Traps at Once.,60 Hunter,Hard,80,
292,General,Have 5 Active Hunter Traps at Once.,80 Hunter,Hard,80,
293,General,Catch a Creature Without a Trap Failing.,,Easy,10,
294,General,Catch 10 Creatures in a Row Without Failure.,30 Hunter,Medium,30,
295,General,Catch 50 Creatures in a Row Without Failure.,70 Hunter,Hard,80,
296,General,Receive a Slayer Task.,,Easy,10,
297,General,Complete a Slayer Task.,,Easy,10,
298,General,Complete 5 Slayer Tasks.,,Easy,10,
299,General,Complete 25 Slayer Tasks.,,Medium,30,
300,General,Complete 50 Slayer Tasks.,,Medium,30,
301,General,Complete 100 Slayer Tasks.,,Hard,80,
302,General,Complete 250 Slayer Tasks.,,Hard,80,
303,General,Complete 500 Slayer Tasks.,,Elite,200,
304,General,Kill Crawling Hands.,5 Slayer,Easy,10,
305,General,Kill Banshees.,15 Slayer,Easy,10,
306,General,Kill Cave Bugs.,7 Slayer,Easy,10,
307,General,Kill Cave Crawlers.,10 Slayer,Easy,10,
308,General,Kill Rockslugs.,20 Slayer,Easy,10,
309,General,Kill Pyrefiends.,30 Slayer,Medium,30,
310,General,Kill Basilisks.,40 Slayer,Medium,30,
311,General,Kill Bloodveld.,50 Slayer,Medium,30,
312,General,Kill Dust Devils.,65 Slayer,Hard,80,
313,General,Kill Kurasks.,70 Slayer,Hard,80,
314,General,Kill Skeletal Wyverns.,72 Slayer,Hard,80,
315,General,Kill Gargoyles.,75 Slayer,Hard,80,
316,General,Kill Nechryaels.,80 Slayer,Hard,80,
317,General,Kill Abyssal Demons.,85 Slayer,Elite,200,
318,General,Kill Dark Beasts.,90 Slayer,Elite,200,
319,General,Defeat Abyssal Sire,85 Slayer,Elite,200,
320,General,Unlock a Slayer Helmet.,55 Slayer,Medium,30,
321,General,Equip a Slayer Helmet.,55 Slayer,Medium,30,
322,General,Craft a Slayer Helmet.,55 Slayer,Medium,30,
323,General,Learn a Slayer Unlock.,,Medium,30,
324,General,Learn 5 Slayer Unlocks.,,Hard,80,
325,General,Block a Slayer Task.,,Medium,30,
326,General,Skip a Slayer Task.,,Medium,30,
327,General,Receive a Task from a Mid-Level Slayer Master.,40 Slayer,Medium,30,
328,General,Receive a Task from a High-Level Slayer Master.,70 Slayer,Hard,80,
329,General,Receive a Task from the Highest Slayer Master.,90 Slayer,Elite,200,
330,General,Reach a 10 Task Streak.,,Easy,10,
331,General,Reach a 50 Task Streak.,,Medium,30,
332,General,Reach a 100 Task Streak.,,Hard,80,
333,General,Reach a 250 Task Streak.,,Elite,200,
334,General,Use a Slayer Ring.,75 Slayer,Hard,80,
335,General,Kill 100 Slayer Creatures.,,Easy,10,
336,General,"Kill 1,000 Slayer Creatures.",,Medium,30,
337,General,"Kill 5,000 Slayer Creatures.",,Hard,80,
338,General,Loot a Rare Drop from a Slayer Creature.,,Hard,80,
339,General,Craft Leather Gloves.,,Easy,10,
340,General,Craft Leather Boots.,7 Crafting,Easy,10,
341,General,Craft Leather Cowl.,9 Crafting,Easy,10,
342,General,Craft Hard Leather Body.,28 Crafting,Easy,10,
343,General,Craft Studded Body.,41 Crafting,Medium,30,
344,General,Craft Green Dragonhide Armor.,57 Crafting,Medium,30,
345,General,Craft Blue Dragonhide Armor.,71 Crafting,Hard,80,
346,General,Craft Red Dragonhide Armor.,77 Crafting,Hard,80,
347,General,Craft Black Dragonhide Armor.,84 Crafting,Hard,80,
348,General,Cut a Sapphire.,20 Crafting,Easy,10,
349,General,Cut an Emerald.,27 Crafting,Easy,10,
350,General,Cut a Ruby.,34 Crafting,Medium,30,
351,General,Cut a Diamond.,43 Crafting,Medium,30,
352,General,Cut a Dragonstone.,55 Crafting,Medium,30,
353,General,Cut an Onyx.,67 Crafting,Hard,80,
354,General,Craft a Sapphire Ring.,20 Crafting,Easy,10,
355,General,Craft an Emerald Necklace.,29 Crafting,Easy,10,
356,General,Craft a Ruby Amulet.,50 Crafting,Medium,30,
357,General,Craft a Diamond Bracelet.,58 Crafting,Medium,30,
358,General,Craft a Dragonstone Amulet.,80 Crafting,Hard,80,
359,General,Blow Molten Glass into Vials.,33 Crafting,Medium,30,
360,General,Blow Glass Orbs.,46 Crafting,Medium,30,
361,General,Blow Glass Lantern Lenses.,49 Crafting,Medium,30,
362,General,Blow Glass Bowls.,8 Crafting,Easy,10,
363,General,Spin Flax into Bow Strings.,10 Crafting,Easy,10,
364,General,"Spin 1,000 Bow Strings.",40 Crafting,Medium,30,
365,General,Craft Pottery.,,Easy,10,
366,General,Fire Pottery in a Kiln.,,Easy,10,
367,General,Craft Gold Jewelry.,5 Crafting,Easy,10,
368,General,Craft Silver Jewelry.,16 Crafting,Easy,10,
369,General,Craft 25 Leather Items.,,Easy,10,
370,General,Craft 100 Leather Items.,25 Crafting,Easy,10,
371,General,Craft 500 Leather Items.,55 Crafting,Medium,30,
372,General,"Craft 1,000 Leather Items.",80 Crafting,Hard,80,
373,General,Cut 25 Gems.,20 Crafting,Easy,10,
374,General,Cut 100 Gems.,40 Crafting,Medium,30,
375,General,Cut 500 Gems.,70 Crafting,Hard,80,
376,General,Craft 25 Jewelry Items.,20 Crafting,Easy,10,
377,General,Craft 100 Jewelry Items.,45 Crafting,Medium,30,
378,General,Craft 500 Jewelry Items.,75 Crafting,Hard,80,
379,General,Tan Leather.,,Easy,10,
380,General,Tan 100 Hides.,20 Crafting,Easy,10,
381,General,Clean a Guam Leaf.,,Easy,10,
382,General,Clean a Marrentill.,5 Herblore,Easy,10,
383,General,Clean a Tarromin.,11 Herblore,Easy,10,
384,General,Clean a Harralander.,20 Herblore,Easy,10,
385,General,Clean a Ranarr Weed.,25 Herblore,Easy,10,
386,General,Clean an Irit Leaf.,40 Herblore,Medium,30,
387,General,Clean a Kwuarm.,54 Herblore,Medium,30,
388,General,Clean a Snapdragon.,59 Herblore,Medium,30,
389,General,Clean a Cadantine.,65 Herblore,Hard,80,
390,General,Clean a Torstol.,75 Herblore,Hard,80,
391,General,Make an Attack Potion.,3 Herblore,Easy,10,
392,General,Make an Anti-poison Potion.,5 Herblore,Easy,10,
393,General,Make a Strength Potion.,12 Herblore,Easy,10,
394,General,Make a Restore Potion.,22 Herblore,Easy,10,
395,General,Make an Energy Potion.,26 Herblore,Easy,10,
396,General,Make a Defence Potion.,30 Herblore,Medium,30,
397,General,Make a Prayer Potion.,38 Herblore,Medium,30,
398,General,Make a Super Attack Potion.,45 Herblore,Medium,30,
399,General,Make a Super Strength Potion.,55 Herblore,Medium,30,
400,General,Make a Super Restore Potion.,63 Herblore,Hard,80,
401,General,Make a Saradomin Brew.,81 Herblore,Hard,80,
402,General,Make a Super Combat Potion.,90 Herblore,Elite,200,
403,General,Unfinished a Potion.,,Easy,10,
404,General,Add a Secondary Ingredient to a Potion.,,Easy,10,
405,General,Make 25 Potions.,,Easy,10,
406,General,Make 100 Potions.,,Easy,10,
407,General,Make 500 Potions.,,Medium,30,
408,General,"Make 1,000 Potions.",,Hard,80,
409,General,"Make 5,000 Potions.",,Elite,200,
410,General,Clean 25 Herbs.,,Easy,10,
411,General,Clean 100 Herbs.,,Easy,10,
412,General,Clean 500 Herbs.,,Medium,30,
413,General,"Clean 1,000 Herbs.",,Hard,80,
414,General,Create 100 Unfinished Potions.,,Easy,10,
415,General,Create 500 Unfinished Potions.,,Medium,30,
416,General,"Create 1,000 Unfinished Potions.",,Hard,80,
417,General,Combine Potions into Four-Dose Potions.,,Easy,10,
418,General,Make Combat Potions.,36 Herblore,Medium,30,
419,General,Craft Air Runes.,,Easy,10,
420,General,Craft Mind Runes.,2 Runecrafting,Easy,10,
421,General,Craft Water Runes.,5 Runecrafting,Easy,10,
422,General,Craft Earth Runes.,9 Runecrafting,Easy,10,
423,General,Craft Fire Runes.,14 Runecrafting,Easy,10,
424,General,Craft Body Runes.,20 Runecrafting,Easy,10,
425,General,Craft Cosmic Runes.,27 Runecrafting,Easy,10,
426,General,Craft Chaos Runes.,35 Runecrafting,Medium,30,
427,General,Craft Nature Runes.,44 Runecrafting,Medium,30,
428,General,Craft Law Runes.,54 Runecrafting,Medium,30,
429,General,Craft Death Runes.,65 Runecrafting,Hard,80,
430,General,Craft Blood Runes.,77 Runecrafting,Hard,80,
431,General,Craft Soul Runes.,90 Runecrafting,Elite,200,
432,General,Craft 100 Runes.,,Easy,10,
433,General,"Craft 1,000 Runes.",,Medium,30,
434,General,"Craft 10,000 Runes.",,Hard,80,
435,General,Cast a Wind Strike Spell.,,Easy,10,
436,General,Cast a Water Strike Spell.,5 Magic,Easy,10,
437,General,Cast an Earth Strike Spell.,9 Magic,Easy,10,
438,General,Cast a Fire Strike Spell.,13 Magic,Easy,10,
439,General,Cast a Wind Bolt Spell.,17 Magic,Easy,10,
440,General,Cast a Water Bolt Spell.,23 Magic,Easy,10,
441,General,Cast an Earth Bolt Spell.,29 Magic,Easy,10,
442,General,Cast a Fire Bolt Spell.,35 Magic,Medium,30,
443,General,Cast a Wind Blast Spell.,41 Magic,Medium,30,
444,General,Cast a Water Blast Spell.,47 Magic,Medium,30,
445,General,Cast an Earth Blast Spell.,53 Magic,Medium,30,
446,General,Cast a Fire Blast Spell.,59 Magic,Medium,30,
447,General,Cast a Wind Wave Spell.,62 Magic,Hard,80,
448,General,Cast a Water Wave Spell.,65 Magic,Hard,80,
449,General,Cast an Earth Wave Spell.,70 Magic,Hard,80,
450,General,Cast a Fire Wave Spell.,75 Magic,Hard,80,
451,General,Cast a Surge Spell.,81 Magic,Hard,80,
452,General,Cast a Barrage Spell.,94 Magic,Elite,200,
453,General,Cast a Teleport Spell.,25 Magic,Easy,10,
454,General,Cast 10 Teleport Spells.,25 Magic,Easy,10,
455,General,Cast 100 Teleport Spells.,45 Magic,Medium,30,
456,General,"Cast 1,000 Teleport Spells.",,Hard,80,
457,General,Cast Low Level Alchemy.,21 Magic,Easy,10,
458,General,Cast High Level Alchemy.,55 Magic,Medium,30,
459,General,Alchemize 100 Items.,55 Magic,Medium,30,
460,General,"Alchemize 1,000 Items.",,Hard,80,
461,General,Enchant Jewelry.,7 Magic,Easy,10,
462,General,Enchant 100 Jewelry Items.,,Medium,30,
463,General,Cast a Curse Spell.,19 Magic,Easy,10,
464,General,Cast a Bind Spell.,20 Magic,Easy,10,
465,General,Cast a Snare Spell.,50 Magic,Medium,30,
466,General,Cast an Entangle Spell.,79 Magic,Hard,80,
467,General,Cast a Combat Spell Against a Monster.,,Easy,10,
468,General,Kill 100 Monsters with Magic.,25 Magic,Easy,10,
469,General,"Kill 1,000 Monsters with Magic.",55 Magic,Medium,30,
470,General,"Kill 5,000 Monsters with Magic.",,Elite,200,
471,General,Cast a Multi-Target Spell.,70 Magic,Hard,80,
472,General,Cast an Ancient Magick spell,70 Magic,Hard,80,
473,General,Cast a Lunar Magic spell,65 Magic,Hard,80,
474,General,Charge an Orb.,60 Magic,Hard,80,
475,General,Make a Teleport Tablet,50 Magic,Medium,30,
476,General,"Cast 1,000 Spells.",30 Magic,Medium,30,
477,General,"Cast 10,000 Spells.",,Hard,80,
478,General,Equip a Shortbow.,,Easy,10,
479,General,Equip a Longbow.,,Easy,10,
480,General,Equip a Crossbow.,,Easy,10,
481,General,Equip Throwing Knives,,Easy,10,
482,General,Fire Bronze Arrows.,,Easy,10,
483,General,Fire Iron Arrows.,,Easy,10,
484,General,Fire Steel Arrows.,30 Ranged,Medium,30,
485,General,Fire Mithril Arrows.,20 Ranged,Medium,30,
486,General,Fire Adamant Arrows.,30 Ranged,Hard,80,
487,General,Fire Rune Arrows.,40 Ranged,Hard,80,
488,General,Equip Green Dragonhide Armor.,40 Ranged,Medium,30,
489,General,Equip Blue Dragonhide Armor.,50 Ranged,Medium,30,
490,General,Equip Red Dragonhide Armor.,60 Ranged,Hard,80,
